p,alga,lv,lv_s,lv_v,nonlv,mult,cits
Analītikas nodaļas sankciju speciālista valsts civildienesta ierēdņa amats,2000,,,x,,,
Android Developer,3750,,,,x,,
Android Developer,3750,,,,x,,
Android Developer,3750,,,,x,,
Android Developer in Mobile Team,3600,,,,x,,
Apaļkoku mērnieks koklaukumā Rīgā,1396,,,x,,,
Apaļkoku mērnieks koklaukumā Rīgā,1396,,,x,,,
Apdares meistari / Skārdnieki (kuģu būve/kuģu remonts),4900,,,x,,,
Apdrošināšanas aģents Latgales reģionā,40,,,x,,,
Apdrošināšanas aģents Vidzemes reģionā,40,,,x,,,
"Apkures, ventilācijas un gaisa kondicionēšanas iekārtu tehniķis/ Heating, Ventilation Technician",1923,,,x,,,
Apollo.lv ziņu redaktors,1200,,,x,,,
App Store Optimization (ASO) specialist,1400,,,,x,,
App Store Optimization (ASO) specialist,1400,,,,x,,
Application Lead Engineer for ServiceNow,4550,,,,x,,
Application Lead Engineer for ServiceNow,4550,,,,x,,
Application Support Generalist,2850,,,,x,,
Architect Front-End Developer (React),4600,,,,x,,
Area Sales Manager,2300,,,,x,,
Arhitekta palīgs/ palīdze,2300,x,,,,,
Arhitekta palīgs/ palīdze,2300,x,,,,,
Arhitekts / Arhitekta palīgs,1900,,,x,,,
Arhitekts/ Būvprojektu vadītājs,2150,,,x,,,
Arhitektūras projektu vadītājs,2700,,,x,,,
Arhivārs-vecākais lietvedis Administratīvā departamenta Dokumentu pārvaldības nodaļā,1400,,,x,,,
Asfalta ieklājēja operators,2000,,,x,,,
Asfalta ieklājēja vadītājs,2100,,,x,,,
Assistant Controller,3700,,,,x,,
Assistant in Payments department,1600,,,,x,,
Assistant in Payments department,1600,,,,x,,
Assistant to the Account Management Team,1550,,,,x,,
Associate Service Manager,280,,,,x,,
Atbildīgais radiologs Neatliekamās Radioloģijas nodaļā,840,,,x,,,
Attīstības procesu vadītājs Aprūpē (nepilna slodze),1680,,,x,,,
Attīstības un projektu vadības departamenta projektu vadītājs (uz noteiktu laiku),2000,,,x,,,
Audiovizuālās ražošanas nodaļas vadītājs,2200,,,x,,,
Autoiekrāvēja vadītājs Latvijas filiālē,1600,,,x,,,
Automation Engineer,2900,,,,x,,
"Automatizācijas sistēmu inženieris (Automatizācijas virziena vadītājs PLC, SCADA, MES, BMS)",2500,,,x,,,
"Automatizācijas sistēmu inženieris (Automatizācijas virziena vadītājs PLC, SCADA, MES, BMS)",2500,,,x,,,
Azure Cloud Architect,3939,,,,x,,
B2B Pārdošanas Guru,3000,x,,,,,
B2B Pārdošanas menedžeris,2500,,,x,,,
B2B Pārdošanas projektu menedžeris,2500,,,x,,,
B2B Pārdošanas projektu menedžeris,2500,,,x,,,
B2B Sales manager,2840,,,,x,,
B2B Sales manager,2840,,,,x,,
BIM koordinatora asistents,1450,,,x,,,
BSOC specialist internship (2 vacancies),350,,,,x,,
Baltic Product Manager for Commercial Risks,3650,,,,x,,
Bank Operations Account Specialist,1650,,,,x,,
"Bank Operations Specialist in Client Data Management Team | SEB, Riga",1575,,,,x,,
"Bank Services Specialist with interest in Private Banking | SEB, Riga",1850,,,,x,,
"Bank Specialist with a focus on Accounts & Settlements| SEB, Riga",1575,,,,x,,
Bar chef aka barmaid on river cruise ships,2140,,,,x,,
Big Data engineer,3562,,,,x,,
Billing Specialist,1450,,,,x,,
Biroja administrators / Sekretāri,1500,,,x,,,
Biroja vadošais lietvedis (atkārtots konkurss),1400,,,x,,,
Biroja vadītāja - Personīgā asistente,1800,,x,,,,
Biznesa analītiķis (IT),3000,,,x,,,
Biznesa analītiķis (IT),3000,,,x,,,
Biznesa asistents- Projektu menedžeris / Бизнес-ассистент - менеджер проектов,2400,,,x,,,
Brand Strategist,4300,,,,x,,
Business Analyst,2500,,,,x,,
Business Analyst,3600,,,,x,,
Business Analyst,2250,,,,x,,
Business Analyst,3150,,,,x,,
Business Analyst,2050,,,,x,,
Business Analyst,2500,,,,x,,
Business Analyst,2500,,,,x,,
Business Analyst and Requirement Engineer,3500,,,,x,,
"Business Analyst, Tietoevry Banking",3100,,,,x,,
Business Area Manager - Finance & Controlling,2600,,,,x,,
"Business Controller, Tietoevry Tech Services",2200,,,,x,,
Business Data Analyst,2400,,,,x,,
Business Developer,1750,,,,x,,
Business Developer,1750,,,,x,,
Business Developer (Business Analyst) in Mobile Team,2500,,,,x,,
"Business Developer in Internet bank | SEB, Riga",2500,,,,x,,
Business Development Executive,2920,,,,x,,
Business Development Manager,3750,,,,x,,
Business Development Manager,3900,,,,x,,
Business Development Manager,3950,,,,x,,
Business Development Manager,3500,,,,x,,
Business Development Manager,3500,,,,x,,
Business Development Manager (Latvia),3000,,,,x,,
Business Development Manager (payment acquiring),2800,,,,x,,
Business Development Manager in Payment Department,3300,,,,x,,
Business Development Manager in Payment Department,3300,,,,x,,
Business Development/Sales Manager,3000,,,,x,,
Business Development/Sales Manager,3000,,,,x,,
Business IT Analyst,3700,,,,x,,
Business Intelligence Analyst,2150,,,,x,,
Business Intelligence Analyst,3100,,,,x,,
Business Intelligence Engineer,3150,,,,x,,
Bērnu un jauniešu psihiskās veselības centra aprūpes vadītājs,2500,,,x,,,
Bērza saplākšņa tirdzniecības vadītājs,4250,,,x,,,
Bērza saplākšņa tirdzniecības vadītājs,4250,,,x,,,
Būvdarbu vadītāja palīgs,1750,,,x,,,
Būvdarbu vadītāja palīgs,1750,,,x,,,
Būvdarbu vadītājs (kontakttīkli),2500,,,x,,,
Būvdarbu vadītājs (kontakttīkli),2500,,,x,,,
Būvdarbu vadītājs (ŪKT jomā),2300,,,x,,,
Būvniecības nodaļas vadītāja vietnieks,2150,,,x,,,
Būvniecības projektu vadītājs,2575,,,x,,,
Būvniecības projektu vadītājs,2575,,,x,,,
Būvnieks montāžas darbiem,1700,,,x,,,
Caffeine virtuves darbinieks ( dienas maiņas),320,,,x,,,
Call-off planner,2050,,,,x,,
Carrier Procurement Specialist,2500,,,,x,,
Category Manager,3850,,,,x,,
Category Manager for CPG,3300,,,,x,,
Ceļu horizontālā marķējuma uzklāšanas mašīnas operatoru,2000,,,x,,,
Ceļu horizontālā marķējuma uzklāšanas mašīnas operatoru,2000,,,x,,,
Chef de partie on cruise ships,2998,,,,x,,
Chief Product Owner to Customer Overview and Digital Enablers Tribe,0,,,,x,,
Client Services Assistant,1350,,,,x,,
Client support with different languages,1500,,,,x,,
Client support with different languages,1500,,,,x,,
Collections Specialist,1375,,,,x,,
Collections Specialist (working hours from 11:00 - 19:30),1375,,,,x,,
Commis de cuisine/chef's assistant,2477,,,,x,,
Communications Specialist B2C,1250,,,,x,,
Company Representative,2600,,,,x,,
Company representative in Latvia,3553,,,,x,,
Compensation and Benefits Manager,2900,,,,x,,
Compensation and Benefits Specialist (HR/C&B),2650,,,,x,,
Compensation and Benefits Specialist (HR/C&B),2650,,,,x,,
Computational designer,3100,,,,x,,
Computer Operator/Operation Specialist,1200,,,,x,,
Computer Operator/Operation Specialist,1200,,,,x,,
Concept Manager / Senior Concept Manager,3000,,,,x,,
Construction Manager ELECTROMECHANICAL PROJECTS,3500,,,,x,,
Consumer Activation Manager Latvia,3300,,,,x,,
Content Reviewer in Romania,1708,,,,x,,
Controller Fuel Stock & Deal Control,1600,,,,x,,
Controls Specialist,2950,,,,x,,
Conversion Rate Optimization Strategist,2500,,,,x,,
Cook/повар/pavārs,3500,,,,,x,
Copywriter,2000,,,,x,,
Corporate Documentation Specialist,1606,,,,x,,
Country Legal Counsel,3000,,,,x,,
Country Manager - Scandinavia,3250,,,,x,,
Country Manager - Scandinavia,3250,,,,x,,
Country Sales Manager,2650,,,,x,,
Country manager - Latvia,7000,,,,x,,
Creative Copywriter,2400,,,,x,,
Creative Production Manager (E-Commerce Ads),2000,,,,x,,
Creative Strategist,2830,,,,x,,
Credit Controller,2250,,,,x,,
Credit Controller (12 months FTC),1950,,,,x,,
Crew Experience Specialist,1700,,,,x,,
Customer Advisor,1425,,,,x,,
Customer Retention Specialist,2200,,,,x,,
Customer Service Associate (English and Dutch language),1625,,,,x,,
Customer Service Associate (English and French language),1625,,,,x,,
Customer Service Associate (English and Italian language),1625,,,,x,,
Customer Service Associate (English and Polish language),1625,,,,x,,
Customer Service Associate (English and Portuguese language),1625,,,,x,,
Customer Service Associate (English and Spanish language),1625,,,,x,,
Customer Service Associate (English language),1625,,,,x,,
Customer Service Representative with Russian (m/f/d),1380,,,,x,,
Customer Service Specialist - Airbnb Team,1150,,,,x,,
Customer Service Specialist - Airbnb Team,1150,,,,x,,
Customer Services Coordinator,1600,,,,x,,
Customer Support Representative,1200,,,,x,,
Customer Support Representative,280,,,,x,,
Customer Support Specialist - Samsung team,240,,,,x,,
Customer support specialist with Russian and English language skills (via phone),1258,,,,x,,
Customer support specialists,1700,,,,x,,
Cybersecurity Specialist,3000,,,,x,,
Cybersecurity and IT Management Advisory Sales Partner,2750,,,,x,,
DWH Developer,4660,,,,x,,
Danish Chatbot Communication Developer,1700,,,,x,,
Danish-speaking Customer Service Specialist,1575,,,,x,,
Darbs būvniecības nozarē Vācijā,2500,x,,,,,
Darījumu vadītāja asistents,1500,,,x,,,
Data Analyst,2200,,,,x,,
Data Analyst,2100,,,,x,,
Data Analyst and Performance Manager,2250,,,,x,,
Data Engineer,3500,,,,x,,
Data Engineer (software developer) for Business Intelligence team in Finance & Risk tribe,3600,,,,x,,
Data Governance Lead,2400,,,,x,,
Data Management Specialist,1375,,,,x,,
Data Protection Specialist,3750,,,,x,,
Data Scientist,4575,,,,x,,
Data Scientist,3400,,,,x,,
"Data Scientist (Pricing Actuary, Analyst Baltics)",3592,,,,x,,
"Data Scientist (Pricing Actuary, Analyst Baltics)",3592,,,,x,,
Data Steward,3050,,,,x,,
Data Steward,2000,,,,x,,
"Data Steward for Regulatory Reporting | SEB, Riga",3350,,,,x,,
"Data Steward for Savings & Investments Tribe | SEB, Riga",3350,,,,x,,
Database Administrator (Oracle Database Services),4100,,,,x,,
"Database Developer (on-site / remote job opportunity, Gambling industry)",6000,,,,x,,
Daten analyst/ Datu analītiķis,3100,,,x,,,
Datu apstrādes speciālists,1000,,,x,,,
Datu ievades speciālists,1200,,,x,,,
Datu ievades speciālists,1200,,,x,,,
Datu uzskaites SAP key user Tehniskajā daļā (uz noteiktu laiku),1950,,,,,,x
Degvielas uzpildes stacijas vadītājs,1017,,,x,,,
"Delivery Finance Specialist, Tietoevry Tech Services",1400,,,,x,,
Demand Planner Analyst,2050,,,,x,,
Deputy CTO,6750,,,,x,,
DevOps Engineer,3600,,,,x,,
DevOps Engineer,2750,,,,x,,
DevOps Integration Engineer,5250,,,,x,,
DevOps Specialist,3562,,,,x,,
Digital Marketing Manager,2250,,,,x,,
Digital Marketing Specialist,3100,,,,x,,
Digital Project Manager,4000,,,,x,,
Digital marketing Lead,4850,,,,x,,
Digitālā mārketinga speciālists,1700,,,x,,,
Dinamisks Pārdošanas Speciālists (digitālajā izstrādes aģentūrā),1500,,,x,,,
Dinamisks Pārdošanas Speciālists (digitālajā izstrādes aģentūrā),1500,,,x,,,
Director of Continuous Improvement,5250,,,,x,,
Director of Continuous Improvement,5250,,,,x,,
Drošības dienesta darbinieks Tīraines ielā 3b,1045,,,x,,,
Dynamics 365 CRM Developer,3900,,,,x,,
Dzīvības apdrošināšanas darījumu vadītājs Vidzemes reģionā,1550,,,x,,,
Dzīvības apdrošināšanas pārdošanas speciālists Zvanu centrā,1600,,,x,,,
E-Commerce Shop Manager,2450,,,,x,,
E-commerce Marketplace Specialist,1600,,,,x,,
EKSPORTA PĀRDOŠANAS MENEDŽERI,2000,,,x,,,
"Ecommerce Manager in Baltics (Fashion, Home and Beauty)",2425,,,,x,,
Ekonomisko lietu tiesas tiesas sēžu sekretārs (uz nenoteiktu laiku),1118,,,x,,,
Ekspeditors / Pārdošanas speciālists,2400,,,x,,,
Ekspeditors / Pārdošanas speciālists,2400,,,x,,,
Eksporta menedžeris (darbam Zviedrijas tirgū),2750,,,x,,,
Eksporta pārdošanas menedžeris,3200,,,x,,,
Electronic Product Quality Engineer,1775,,,,x,,
Elektriķis / Automatizācijas speciālists / Automation specialist in Sweden,3500,,,x,,,
Elektriķis / Automatizācijas speciālists / Automation specialist in Sweden,3500,,,x,,,
Elektriķis-servisa tehniķis,1695,,,x,,,
Elektroietaišu/elektrotīklu projektētājs,2000,,,x,,,
Elektromehānisko iekārtu mehāniķis,1400,,,x,,,
Elektromehānisko iekārtu mehāniķis,1400,,,x,,,
Elektronikas/Radioinženieri,2000,,,x,,,
Elektrotīklu Projektētājs/ Projektētāja palīgs/ Rasētājs,2000,,,x,,,
Elektrības tīklu projektētājs,2600,,,x,,,
Elementary School Counselor (Preschool 2 – Grade 5),1958,,,,x,,
Email/Mobile Marketing Specialist or Senior Specialist,2000,,,,x,,
Embedded  Engineer,2350,,,,x,,
Embedded engineer,5000,,,,x,,
Employer Branding Specialist ( temporary position ),1180,,,,x,,
Employer Branding Specialist ( temporary position ),1180,,,,x,,
Engineering Leadership Development Program for Graduates,2600,,,,x,,
English Language Copywriter,1635,,,,x,,
English Speaking Game Presenter,240,,,,x,,
English and French Speaking Customer Consultant,1500,,,,x,,
Enterprise Monitoring Engineer,5000,,,,x,,
Executive Business Assistant,3000,,,,x,,
Executive Business Assistant,3000,,,,x,,
Executive Project Manager to CTO,4100,,,,x,,
Executive assistant,2260,,,,x,,
Expansion Manager / Sales Manager,2250,,,,x,,
Experienced .Net Developer,2750,,,,x,,
Experimentation Program Manager,2500,,,,x,,
Expierenced CRM and Retention Manager,3200,,,,x,,
Export manager,2830,,,,x,,
Facebook Ads Specialist,2115,,,,x,,
Facilities and Maintenance Coordinator,1677,,,,x,,
Facilities and Maintenance Coordinator,1677,,,,x,,
Farmaceite/-s vai Farmaceita asistente/-s,1450,x,,,,,
Farmaceite/-s vai Farmaceita asistente/-s,1450,x,,,,,
"Farmaceits, farmaceita asistents",1625,,,x,,,
Filiāļu un struktūrvienību direktors,2850,,,x,,,
Filiāļu un struktūrvienību direktors,2850,,,x,,,
"Finance Accounting Specialist in SEB Baltic Product Development | SEB, Riga",2850,,,,x,,
Finance Assistant,1500,,,,x,,
"Finance Business Analyst in Finance & Risk Tribe | SEB, Riga",3200,,,,x,,
Finance Expert - General Accounting Tax Integration,2500,,,,x,,
Finance Expert - General Accounting Tax Integration,2500,,,,x,,
"Finance Functional Consultant, Tietoevry Tech Services",3250,,,,x,,
Finance Manager,1885,,,,x,,
Finance Manager,3500,,,,x,,
Finance Testing Services Specialist,2500,,,,x,,
Financial Analyst,2800,,,,x,,
Financial Analyst,2000,,,,x,,
"Financial Analyst, Consolidation Specialist",2650,,,,x,,
Financial Assistant (Accounts Receivable),1550,,,,x,,
Finansists/-e,1292,x,,,,,
Finanšu kontrolieris ražošanā,2750,,,x,,,
Finanšu plānošanas un analīzes vadītājs,3500,,,x,,,
Finanšu plānošanas un uzskaites nodaļas galvenais speciālists (uz noteiktu laiku – 2 gadi),1080,,,x,,,
Finanšu un digitalizācijas vadītājs,4400,,,x,,,
Finanšu un digitalizācijas vadītājs,4400,,,x,,,
Finanšu un ieņēmumu plānošanas analītiķis,2250,,,x,,,
Finnish Speaking E-mail and Chat Customer Service Agent,2000,,,,x,,
Finnish speaking game presenter,2925,,,,x,,
Finnish speaking game presenter,2925,,,,x,,
Finnish-speaking KYC Support Agent,2000,,,,x,,
Fizisko personu parādu un citu maksājumu atgūšanas daļas  galvenais nodokļu inspektors,1226,,,x,,,
Flight Dispatcher,2150,,,,x,,
Flight Dispatcher,2150,,,,x,,
Foreman (Electromechanical projects),560,,,,x,,
Fraud Investigator,1900,,,,x,,
Fraud Investigator,1900,,,,x,,
Fraud Monitoring Specialist (Temporary Contract),2250,,,,x,,
French Speaking Logistic Support Specialist for USA,1500,,,,x,,
French speaking B2B Customer Experience Specialist (temporary position),1425,,,,x,,
Front-End Developer (Senior OR Lead),4000,,,,x,,
Front-end Developer,3200,,,,x,,
Frontend Developer,2750,,,,x,,
Frontend Engineer (JavaScript/TypeScript),5800,,,,x,,
Frontend Software Engineer,4000,,,,x,,
Frontāla iekrāvēja ar kausu vadītājs,240,,,x,,,
Fuel Accountant,1600,,,,x,,
Full Stack Engineer,3860,,,,x,,
Full stack (C#/.Net) Software Developer,3850,,,,x,,
Full-Stack Developer,4500,,,,x,,
Full-Stack developer,5500,,,,x,,
Galvanā gramatveža vietnieks (bilancspējīgs),2450,,,x,,,
Galvenais apdrošināšanas speciālists Rietumu reģionālajā filiālē,1680,,,x,,,
Galvenais grāmatvedis - finanšu direktors,3000,,,x,,,
Galvenais satiksmes organizācijas speciālists (eksperts),2308,,,x,,,
Galvenais satiksmes organizācijas speciālists (eksperts),2308,,,x,,,
Galvenais speciālists (pirmās palīdzības apmācības izglītības jautājumos - eksperts),1600,,,x,,,
Galvenais speciālists metodiķis,1248,,,x,,,
Galvenā grāmatveža palīgs,1100,,,x,,,
Galvenā grāmatveža vietnieks,2100,,,x,,,
Game Presenter,1440,,,,x,,
Game Presenter,1440,,,,x,,
Game Show Host,480,,,,x,,
Game presenter,1280,,,,x,,
Gastroenterologs,1821,,,,x,,
General Manager SSC,10000,,,,x,,
General operatives,560,,,,x,,
General operatives,560,,,,x,,
German Speaking Game Presenter,1600,,,,x,,
German Speaking SAP FI/CO Trainee,1750,,,,x,,
German Speaking Service Desk Specialist,1700,,,,x,,
German speaking Customer Service Specialist - AirBnB Team,1450,,,,x,,
"Global Facility Manager, Tietoevry Banking",3800,,,,x,,
"Global Facility Manager, Tietoevry Banking",3800,,,,x,,
Global Lead Cloud Security Engineer,5250,,,,x,,
Global Media Planner,3000,,,,x,,
Google Ads Specialist,2220,,,,x,,
Google Ads Specialist,2220,,,,x,,
Granulu rūpnīcas vadītājs (Jēkabpilī),4250,,,x,,,
Graphic Designer (Trevolution),2000,,,,x,,
HEAD OF BUSINESS DEVELOPMENT BALTICS,6000,,,,x,,
HEAD OF COMMUNITIES (F/M/D) | IGNITIS RENEWABLES,3294,,,,x,,
HEALTH AND SAFETY SPECIALIST (F/M/D/) I IGNITIS RENEWABLES,3169,,,,x,,
HR Business Partner (m/f/d),2190,,,,x,,
HR Coordinator,1775,,,,x,,
HR Manager,3000,,,,x,,
HR Specialist (temporary position for up to 2 years),1800,,,,x,,
HR Supervisor,2800,,,,x,,
Head of Affiliates,6000,,,,x,,
Head of Debt Collection - Baltic Markets,4250,,,,x,,
Head of ESG Reporting,4950,,,,x,,
Head of FICM area,7750,,,,x,,
Head of Life Insurance Division,7250,,,,x,,
Head of Marketing,4500,,,,x,,
Head of Marketing and PR,4000,,,,x,,
Head of Marketing and PR,4000,,,,x,,
Head of sales/ Sales director,4500,,,,x,,
HoReCa Manager,4500,,,,x,,
INTERNATIONAL BUSINESS DEVELOPMENT MANAGER (F/M/D) | IGNITIS RENEWABLES,4025,,,,x,,
IT Administrator / IT speciālists,2200,,,,x,,
IT Application Analyst,2700,,,,x,,
IT Application Analyst,2700,,,,x,,
IT Business Analyst,2350,,,,x,,
IT Business Analyst for Digital Identity,3750,,,,x,,
IT Incident Manager,2050,,,,x,,
IT Product Manager,3550,,,,x,,
IT Product Manager,4250,,,,x,,
IT Product Owner,4250,,,,x,,
IT Project Manager,2700,,,,x,,
IT Project Manager,3000,,,,x,,
IT Project Manager,3000,,,,x,,
IT Project Manager/IT Projektu Vadītājs,3000,,,,x,,
"IT Reporting Engineer in Finance & Risk Tribe | SEB, Riga",3600,,,,x,,
IT Risk Manager,3400,,,,x,,
IT Security Operations Manager,4750,,,,x,,
"IT Service Desk Specialist, Tietoevry Tech Services",1550,,,,x,,
"IT Service Management Lead | SEB, Riga",3400,,,,x,,
"IT Service Owner, Tietoevry Banking",2900,,,,x,,
"IT Service Owner, Tietoevry Banking",2900,,,,x,,
IT Sistēmu ieviešanas projektu vadītāju,1800,x,,,,,
IT Talent Acquisition Specialist,2350,,,,x,,
IT Technical Support Specialist,400,,,,x,,
IT User Support Specialist,1883,,,,x,,
IT User Support Specialist,1883,,,,x,,
IT attīstības daļas vadītājs,6000,,,x,,,
"IT projektu vadītāj, pievienojies komandai!",3500,x,,,,,
"IT support specialist (On-site, Riga)",2150,,,,x,,
IT tehniskā atbalsta nodaļas Informācijas sistēmu administrators (vecākais speciālists),2900,,,x,,,
Iekārtu preventīvo darbu mehāniķis,3300,,,x,,,
Iekārtu projektēšanas inženieris-konstruktors,2450,,,x,,,
Iekārtu tehniķis Iekārtu ekspluatācijas nodrošinājuma nodaļā,1800,,,x,,,
Iekšējais auditors (ar specializāciju IT jomā),2550,,,x,,,
Iekšējās drošības speciālists,2200,,,x,,,
Iekšējās drošības tehniķis,1600,,,x,,,
Iepakojuma iepirkumu speciālists,1600,,,x,,,
Iepirkumu nodaļas vadītājs,3500,,,x,,,
Iepirkumu projektu vadītājs būvniecības jomā,2000,,,x,,,
Iepirkumu speciālista asistents Iepirkumu departamentā,1500,,,x,,,
Iepirkumu speciālists (iepircējs),1750,,,x,,,
Industriālo projektu vadītājs,2500,,,x,,,
Industriālo projektu vadītājs,2500,,,x,,,
Informācijas tehnoloģiju departamenta Informācijas tehnoloģiju attīstības daļas  sistēmu analītiķis,2050,,,x,,,
Informācijas tehnoloģiju nodaļas vadītājs,3250,,,x,,,
Informācijas tehnoloģiju un sakaru nodrošinājuma diennakts dežurants,1330,,,x,,,
Informātikas pārvaldes Datubāzu administrēšanas nodaļas informācijas sistēmu administrators,2122,,,x,,,
Informātikas pārvaldes Informācijas tehnoloģiju projektu kvalitātes pārvaldnieks,2122,,,x,,,
Informātikas pārvaldes Informācijas un komunikācijas tehnoloģiju arhitekts,2464,,,x,,,
Integration Developer,3400,,,,x,,
Integration Engineer,3300,,,,x,,
Integration Focused Developer,4250,,,,x,,
Integration Lead,4150,,,,x,,
Integrētā mārketinga speciālists,2000,,,x,,,
Intelligent Automation Developer(Power Platform Developer),3850,,,,x,,
Intelligent Automation Developer(Power Platform Developer),3850,,,,x,,
Interešu izglītības pedagogs (mūzikas pedagogs),1145,,,x,,,
Interjera dizainers,2300,,,x,,,
Intern in Energy Trading Department,720,,,,x,,
Intern in Facility Management Team,720,,,,x,,
Intern in Fuel Supply Operations,720,,,,x,,
Internal Auditor,2250,,,,x,,
Internal Auditor,2450,,,,x,,
Internal Auditor,2450,,,,x,,
Internship in HR department (data analytics),700,,,,x,,
Internship in HR department (data analytics),700,,,,x,,
Internship in Investor Service AML Team,700,,,,x,,
Internship in Investor Service Team,700,,,,x,,
Internship program 2024,700,,,,x,,
Inventory Planner,1655,,,,x,,
Invoicing Coordinator (Riga),1300,,,,x,,
Inženieris (IT/ telekomunikācijas) NRL,1600,,,x,,,
Inženieris (IT/ telekomunikācijas) NRL,1600,,,x,,,
Inženierkomunikāciju (MEP) nodaļas vadītājs,3050,,,x,,,
Jaunākais Kreditoru grāmatvedis,1300,,,x,,,
Jaunākais Testēšanas Speciālists,1400,,,x,,,
Jaunākais debitoru grāmatvedis,1300,,,x,,,
Jaunākais iepirkumu speciālists,1700,,,x,,,
Jaunākais kvalitātes kontrolieris,1275,,,x,,,
Jaunākais medicīnas iekārtu inženieris/medicīnas fiziķis,1550,,,x,,,
Java Developer,3575,,,,x,,
Java Developer,3500,,,,x,,
Java Developer,2850,,,,x,,
Java Developer,2850,,,,x,,
Java Developer in Mobile Team,3600,,,,x,,
Java Developer in Savings & Investment Tribe,3250,,,,x,,
Java Software Developer for Swisscom,4150,,,,x,,
Java Software Developer in API Gateway team,3250,,,,x,,
Jira Developer,4250,,,,x,,
Junior Account Manager,1897,,,,x,,
Junior Account Manager,1950,,,,x,,
Junior Account Manager,1950,,,,x,,
Junior Accountant,1050,,,,x,,
Junior Accountant,1300,,,,x,,
Junior Accountant/ Jaunākais grāmatvedis,1750,,,,x,,
Junior Content Analyst,1700,,,,x,,
Junior Data Analyst,1500,,,,x,,
Junior Digital Marketing Specialist,1350,,,,x,,
Junior Digital Marketing Specialist,1950,,,,x,,
Junior Digital Marketing Specialist,1950,,,,x,,
Junior Email&SMS Marketing Specialist,1500,,,,x,,
Junior Finance Specialist,1000,,,,x,,
Junior Finance Specialist,1000,,,,x,,
Junior Finnish Speaking IT Support Specialist,1600,,,,x,,
Junior Finnish Speaking IT Support Specialist,1600,,,,x,,
Junior Food Promotions Specialist,1500,,,,x,,
Junior Fraud Specialist,1800,,,,x,,
Junior GIS Specialist (F/M/D) I Ignitis Renewables Latvia,1674,,,,x,,
Junior IT Business Analyst,1400,,,,x,,
Junior IT project manager,1800,,,,x,,
Junior IT project manager,1800,,,,x,,
Junior Lawyer,2100,,,,x,,
Junior Legal Counsel,1800,,,,x,,
Junior Marketing Automation Specialist,1350,,,,x,,
Junior Master Data Specialist,1350,,,,x,,
Junior Partnerships manager,1525,,,,x,,
Junior Partnerships manager,1525,,,,x,,
Junior Penetration Testing Associate,2500,,,,x,,
Junior Project Manager (F/M/D) I Ignitis Renewables,2495,,,,x,,
Junior Project Manager Assistant,1300,,,,x,,
Junior Project Manager Assistant,1300,,,,x,,
Junior QA Specialist,1412,,,,x,,
Junior Quality Assurance Specialist,1700,,,,x,,
"Junior Risk Controller in Rogue Trading Controls focusing on analysis, patter recognition| SEB, Riga",1900,,,,x,,
"Junior Risk Controller in Rogue Trading Controls focusing on analysis, patter recognition| SEB, Riga",1900,,,,x,,
Junior Sales Analyst / Demand Planner,1500,,,,x,,
Junior Sales Consultant,2200,,,,x,,
Junior Security Management Consultant,1950,,,,x,,
Junior Swedish Speaking IT Support Specialist,1600,,,,x,,
Junior Tier 2 Incident Management Engineer,440,,,,x,,
Junior User Support Engineer,1700,,,,x,,
Junior Web Developer,1175,,,,x,,
Junior recruiter,1650,,,,x,,
Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226,,,x,,,
Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226,,,x,,,
Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226,,,x,,,
Juridisko personu parādu atgūšanas daļas Pirmās nodaļas nodokļu inspektors,1226,,,x,,,
Juridiskā atbalsta nodaļas galvenais jurists,2200,,,x,,,
Juridiskās un pirmstiesas strīdu izskatīšanas pārvaldes Pirmās tiesvedības daļas jurists,1911,,,x,,,
Jurists nekustamā īpašuma attīstības jomā (pilna vai nepilna laika slodze),1800,,,x,,,
KARDIOLOGS Klīniskās diagnostikas centrā,1939,,,x,,,
"KEY-ACCOUNT MANAGER  (Central and Western Europe, Middle Asia)",2500,,,,x,,
"KEY-ACCOUNT MANAGER  (Central and Western Europe, Middle Asia)",2500,,,,x,,
KFC Maiņas Vadītājs - Rīga Plaza,1230,,,x,,,
KFC Maiņas Vadītājs - TC Domina Shopping,1230,,,x,,,
KURJERS darbam Vācijā,2630,,,x,,,
"KYC Regulatory Specialist for a value-driven culture | SEB, Riga",1900,,,,x,,
KYC Specialist,1950,,,,x,,
Kasieris (Rīgā),200,,,x,,,
Key Account Manager,3094,,,,x,,
Key Account Manager,2580,,,,x,,
Key Account Manager,1700,,,,x,,
Key Account Manager,2650,,,,x,,
Key Account Manager,2650,,,,x,,
Key Account Manager Latvia,2280,,,,x,,
Key Account Manager Latvia,2280,,,,x,,
"Kickstarter in Finance with no experience needed | SEB, Riga",1400,,,,x,,
Klientu Apkalpošanas Speciālists Darbam No Mājām (Pusslodze),500,,,x,,,
Klientu Atbalsta Speciālists,1510,,,x,,,
Klientu apkalpošanas galvenais speciālists,1317,,,x,,,
Klientu apkalpošanas koordinators/ Customer Care Coordinator (Scandinavian speaking),1400,,,x,,,
Klientu apkalpošanas koordinators/ Customer Care Coordinator (Scandinavian speaking),1400,,,x,,,
Klientu apkalpošanas menedžeris,2050,,,x,,,
